nome_curso,nome_unidade
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS","S032 - Fundamentos de Sistemas de Informação"
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS","S049 - Modelagem de Banco de Dados"
"REDES DE COMPUTADORES","S049 - Modelagem de Banco de Dados"
"SISTEMAS DE TELECOMUNICAÇÕES","S049 - Modelagem de Banco de Dados"
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS","S075 - Sistema de Gerenciamento de Banco de Dados"
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS","S087- Sistemas Operacionais"
"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS","S091 - Técnicas de Programação"
