nome,carga_horaria,sigla
S049 - Modelagem de Banco de Dados, 70, S049
S087- Sistemas Operacionais, 70, S087
S032 - Fundamentos de Sistemas de Informação, 70, S032
S091 - Técnicas de Programação, 70, S091
S075 - Sistema de Gerenciamento de Banco de Dados, 70, S075
