nome_unidade,nome_turma,data_inicio,data_fim
"S032 - Fundamentos de Sistemas de Informação",S032N,2015-02-19,2015-07-14
"S049 - Modelagem de Banco de Dados",S049,2014-07-31,2014-12-18
"S049 - Modelagem de Banco de Dados",S049N,2015-02-19,2015-07-14
"S075 - Sistema de Gerenciamento de Banco de Dados",S075N,2014-07-31,2014-12-18
"S087- Sistemas Operacionais",S087N,2014-02-17,2014-07-15
"S091 - Técnicas de Programação",S091N,2015-02-19,2015-07-14
